Date,Open,High,Low,Close,Volume
8/13/2015,1335,1342,1278,1317.800049,1406426
8/14/2015,1319,1359.680054,1318.550049,1351.599976,2293964
8/17/2015,1345.050049,1348.400024,1327.5,1342.380005,773644
8/18/2015,1353.449951,1374.949951,1345,1370.449951,1916926
8/19/2015,1375,1376.430054,1360.949951,1366.800049,1690070
8/20/2015,1372.5,1372.5,1336,1343.430054,2349298
8/21/2015,1356,1364.949951,1327.550049,1338.069946,3536080
8/24/2015,1319.5,1322.5,1284.550049,1289.319946,4692344
8/25/2015,1293.949951,1311,1267.75,1283.569946,3925800
8/26/2015,1279.030029,1319.5,1255.969971,1288.380005,3216158
8/27/2015,1307.449951,1307.449951,1272.900024,1287.319946,5264798
8/28/2015,1304.5,1304.5,1278.849976,1285.430054,2744152
8/31/2015,1295,1295,1265.530029,1282.030029,3692044
9/1/2015,1278,1305.599976,1265,1268.699951,2987602
9/2/2015,1279.849976,1310.219971,1274,1295.900024,3765950
9/3/2015,1298.050049,1307.5,1288.119995,1302.800049,2265074
9/4/2015,1305.699951,1307.449951,1269.569946,1273.719971,2426396
9/7/2015,1276.5,1279.969971,1266.349976,1269.880005,1759184
9/8/2015,1272.5,1282.050049,1261.75,1270.150024,1787746
9/9/2015,1281.469971,1287,1272,1274.880005,2045076
9/10/2015,1271,1289.25,1263.5,1272.699951,2665818
9/11/2015,1273.25,1284.199951,1270.300049,1276,1592672
9/14/2015,1282.5,1282.5,1271.5,1275.819946,1589318
9/15/2015,1275.819946,1279.449951,1268,1268.619995,1379900
9/16/2015,1277.5,1282.5,1270.530029,1275.180054,1756816
9/18/2015,1282.5,1293,1269.5,1275.619995,2455294
9/21/2015,1275,1278.550049,1266.599976,1275.530029,1108840
9/22/2015,1278.75,1286.199951,1245,1263.400024,2081246
9/23/2015,1267.150024,1278.880005,1256.300049,1266.319946,1228352
9/24/2015,1267.75,1295,1264.949951,1290.199951,2354254
9/28/2015,1297,1309.5,1289.75,1296.849976,2366812
9/29/2015,1291.680054,1317,1284.930054,1294.119995,3325952
9/30/2015,1321.849976,1321.849976,1285.469971,1294.030029,3368336
10/1/2015,1299.5,1324.969971,1296.099976,1322.300049,2834408
10/5/2015,1326.349976,1385,1326.349976,1355.819946,4807306
10/6/2015,1362.5,1363,1342,1350,3979590
10/7/2015,1346.969971,1358.5,1323.469971,1326.969971,2065530
10/8/2015,1335,1339.180054,1310,1316.900024,2357550
10/9/2015,1325.25,1325.300049,1304,1314.819946,2249724
10/12/2015,1327.5,1330.180054,1293.5,1296.300049,2455912
10/13/2015,1301.400024,1306,1283.800049,1299.280029,6179712
10/14/2015,1274,1274,1240,1241.849976,8337128
10/15/2015,1245,1251.75,1232.5,1233.880005,3215710
10/16/2015,1240.449951,1246,1235,1236,2333828
10/19/2015,1245,1247.469971,1227.930054,1244.380005,3130642
10/20/2015,1248.119995,1265,1247.800049,1263.380005,2695084
10/21/2015,1267.5,1271,1261.119995,1265,1929688
10/23/2015,1274,1274,1263.650024,1268.569946,2335398
10/26/2015,1274.5,1274.5,1257.550049,1268.280029,1414630
10/27/2015,1265.030029,1272.449951,1260.180054,1265.550049,1530420
10/28/2015,1255.030029,1266.780029,1255.030029,1264.550049,1255342
10/29/2015,1266.780029,1267.699951,1245.030029,1247.680054,3130316
10/30/2015,1250,1255.949951,1242.5,1247.599976,1516696
11/2/2015,1250,1261.400024,1243.780029,1258.680054,1319294
11/3/2015,1264,1273.900024,1259.25,1271.719971,1364906
11/4/2015,1272.5,1273.599976,1260,1266.900024,991434
11/5/2015,1265.400024,1267.469971,1240,1241.319946,1596098
11/6/2015,1246,1259.119995,1241.719971,1252.880005,908024
11/9/2015,1247.5,1251.380005,1234.300049,1235.680054,2021556
11/10/2015,1236.469971,1238.5,1225,1229.069946,1361920
11/13/2015,1219.030029,1219.030029,1193.280029,1198.699951,2743232
11/16/2015,1195,1195,1178,1187.300049,2043528
11/17/2015,1190.25,1199.219971,1187.5,1195.280029,1985028
11/18/2015,1194.449951,1194.449951,1173,1175.719971,1520352
11/19/2015,1182.680054,1190.800049,1176,1181.280029,1866906
11/20/2015,1183.25,1211.780029,1180.969971,1199.180054,2012126
11/23/2015,1202.650024,1206.699951,1191.119995,1195.530029,1088082
11/24/2015,1190.030029,1196.219971,1182.75,1183.969971,998640
11/26/2015,1188.949951,1191.199951,1168.930054,1172.780029,2915292
11/27/2015,1174,1179.719971,1166.25,1176.680054,1737206
11/30/2015,1182.5,1195.619995,1175.069946,1186.780029,4100048
12/1/2015,1181.449951,1189.030029,1178.530029,1180.949951,1721994
12/2/2015,1189,1189.050049,1173.25,1182.599976,1640296
12/3/2015,1180,1186.5,1173.5,1175.380005,2283358
12/4/2015,1170,1173.650024,1160.550049,1164.199951,1246092
12/7/2015,1166.099976,1171.949951,1157.619995,1159.900024,1382604
12/8/2015,1159.699951,1174.5,1158.650024,1164.5,1139964
12/9/2015,1168.949951,1186.400024,1160,1183.819946,5282806
12/10/2015,1184.5,1195.599976,1176,1192.280029,1723988
12/11/2015,1191.5,1195.969971,1181.619995,1193,1652378
12/14/2015,1167.599976,1193.5,1165.300049,1189.219971,2718532
12/15/2015,1189.219971,1192.5,1181.530029,1187.930054,1135868
12/16/2015,1192,1207.25,1192,1204.199951,1435934
12/17/2015,1207.5,1222.5,1196.680054,1219.880005,1618844
12/18/2015,1210,1217.099976,1200.319946,1208.400024,3024970
12/21/2015,1209.969971,1225,1203.430054,1223.199951,1610104
12/22/2015,1220,1220,1200,1202.530029,1560858
12/23/2015,1207.5,1217.5,1205.280029,1212.900024,849834
12/24/2015,1210.5,1219.099976,1202,1217.119995,843160
12/28/2015,1214,1233.199951,1210.099976,1231.349976,3704198
12/29/2015,1229.180054,1232.650024,1222.880005,1227.900024,1708524
12/30/2015,1226.530029,1229.5,1206.150024,1209.150024,1605762
12/31/2015,1207.880005,1224.25,1203.75,1218.430054,1240318
1/1/2016,1219.5,1219.5,1206.119995,1208.199951,712262
1/4/2016,1205.069946,1207,1183.030029,1184.800049,1870184
1/5/2016,1192.5,1193.300049,1170.5,1174.469971,2678020
1/6/2016,1175.099976,1193.069946,1175.099976,1190.800049,2653228
1/7/2016,1185,1191.449951,1180,1185.619995,3199580
1/8/2016,1192.5,1203.680054,1186.25,1198.800049,1907544
1/11/2016,1191.25,1192,1174.430054,1181.180054,2930228
1/12/2016,1181.349976,1182.5,1150.800049,1163.530029,3482594
1/13/2016,1158.5,1163.5,1127.550049,1139.599976,4746092
1/14/2016,1136.5,1149.449951,1125,1139.400024,2742052
1/15/2016,1144.430054,1145.849976,1127.5,1130.550049,3269408
1/18/2016,1131,1145.949951,1130,1138.819946,2213922
1/19/2016,1138.5,1150,1134.150024,1139.650024,967910
1/20/2016,1136.900024,1142.5,1121.5,1140.050049,1615954
1/21/2016,1142.5,1144.949951,1122.880005,1127.25,2675536
1/22/2016,1136.5,1151.030029,1130,1147.880005,1343178
1/25/2016,1150.949951,1169.5,1145.75,1152.319946,1397560
1/27/2016,1151,1164.969971,1140.949951,1159.880005,1626986
1/28/2016,1157.75,1174.449951,1154.030029,1165.599976,3106660
1/29/2016,1179.349976,1200,1167.530029,1195.650024,2235744
2/1/2016,1195.550049,1206.469971,1179.5,1201.349976,1495274
2/2/2016,1204.5,1216.5,1189.849976,1199.050049,1475588
2/3/2016,1193.75,1214.949951,1180.150024,1208.150024,1308692
2/4/2016,1210.949951,1220,1201,1210.030029,1250046
2/5/2016,1204.050049,1219.969971,1204.050049,1210.969971,1402996
2/8/2016,1200,1206.030029,1173.5,1181.469971,1063658
2/9/2016,1166.800049,1166.800049,1127.800049,1140.699951,2489610
2/10/2016,1137.5,1144.949951,1129.050049,1134.400024,1890732
2/11/2016,1140,1144.5,1085.819946,1098.969971,1962408
2/12/2016,1100,1121.699951,1082,1113.300049,2172568
2/15/2016,1125,1153.430054,1120,1134.569946,2479712
2/16/2016,1133,1141,1121.5,1132.780029,1588702
2/17/2016,1132.5,1139.819946,1123.199951,1137.780029,1585178
2/18/2016,1142.5,1159.880005,1139,1157.930054,1529140
2/19/2016,1153.680054,1163.5,1152.719971,1159.819946,879012
2/22/2016,1160.119995,1171.5,1152.5,1157.949951,1324884
2/23/2016,1155.119995,1159.949951,1128.380005,1132,1306852
2/24/2016,1131.219971,1131.219971,1100.599976,1105.469971,1659328
2/25/2016,1109.900024,1114,1092.819946,1106.430054,1830556
2/26/2016,1114.849976,1128.449951,1099.800049,1105.25,1537536
2/29/2016,1118.5,1118.5,1057.5,1088.400024,2191718
3/1/2016,1096.5,1142.550049,1081,1138.319946,1999760
3/2/2016,1152.5,1165,1128.119995,1159.430054,1527486
3/3/2016,1168,1195.5,1150.5,1186.569946,2648284
3/4/2016,1190,1190,1174.780029,1178.780029,1512966
3/8/2016,1171.050049,1183.5,1152.099976,1177.150024,1268152
