Date,Open,High,Low,Close,Volume,A/D line,ohlc,aroon up,aroon down,ATR,DMI+,DMI-,ADX,sma18,upper bb,lower bb,CMF,ema2,macd,signal,histogram,Mfi,OBV,PPO,ROC,ROC%,ROC Ratio,stdev,median P,AO,mom cp,mom low,mom high,mom op,WMA3,UPC,LPC,TMA20,PCp,Phigh,Plow,rsi2,stsd,stck,b%,Dx
3/17/2008,810,829.900024,800,806.549988,361660,290369.5964,811.612503,20,90,43.50277836,16.37169785,21.47446747,13.97046566,844.1805589,955.329607,793.4603954,0.143471741,816.8870285,0.769387563,3.847808918,-3.078421355,54.90659369,-3232744,0.090474398,-2715.0024,-0.031403895,0.968596105,42.65628264,814.950012,4.988679541,-66.100036,-47.5,-79.099976,-49.700012,820.899994,944.5,800,815.3566787,832.700012,849.799988,805,0,26.39031657,10.13028534,0.08086524,13.48292377
3/18/2008,810,824.849976,805.150024,813.349976,446490,215575.5851,813.337494,10,80,41.80257648,17.76853714,20.75160366,14.41945931,846.6055569,957.34205,779.5879428,0.145025338,814.5172033,-2.309428259,2.616361483,-4.925789742,55.1956591,-2786254,-0.272402616,579.9988,0.008430957,1.008430957,46.84232016,815,-5.421614753,-91.200012,-69.849976,-90.150024,-65,814.3083193,944.5,800,816.7969994,806.549988,829.900024,800,20.63728535,28.90065142,9.238737716,0.189936726,7.744173446
3/19/2008,830,836.25,801.599976,822.450012,649083,347640.8993,822.574997,0,70,41.29167987,21.42599925,19.50776338,14.73925723,849.9000007,949.4492546,771.060743,0.158610963,819.8321851,-3.990980289,1.294893129,-5.285873418,55.08986185,-2137171,-0.471733072,810.0036,0.01118834,1.01118834,47.00950044,818.924988,-14.27852856,-117.75,-100.400024,-108.25,-77,816.7666627,944.5,800,816.4376333,813.349976,824.849976,805.150024,100,52.41096786,15.53634048,0.288074992,4.686194836
3/24/2008,863.549988,863.549988,790,810.200012,505100,119985.5689,831.824997,0,60,43.59584474,18.90957399,17.1569565,14.21434165,852.3361138,922.920935,771.5890626,0.177430109,813.3786291,-6.258341876,-0.215753872,-6.042588004,55.03268647,-2642271,-0.741933973,-1325,-0.014894522,0.985105478,39.87944995,826.774994,-16.48044393,-117.649964,-83.549988,-74.549988,-57.700012,814.8083393,938.099976,790,824.057635,822.450012,836.25,801.599976,42.62304757,43.81877659,13.07444142,0.255140895,4.859401404
3/25/2008,825,863.950012,816,843.849976,747210,240753.6861,837.199997,0,50,43.90685669,17.43451264,15.81860994,12.91072053,854.7416687,892.235814,785.4741836,0.200821341,833.7944315,-5.292981501,-1.231199398,-4.061782103,51.91619822,-1895061,-0.627472017,3264.9964,0.04153291,1.04153291,28.13415991,839.975006,-13.02352994,-51.200012,-67,-74.049988,-94,829.0666607,938,790,834.6231617,810.200012,863.549988,790,73.31152591,50.14187957,34.8543534,0.546786258,4.859401404
3/26/2008,850,856,835.049988,845.599976,699173,245758.4937,846.662491,0,40,42.26708206,16.81725882,15.94298692,11.32399669,856.5361124,872.7268296,795.0931656,0.189582302,841.7041463,-4.334287819,-1.851817082,-2.482470736,47.45931839,-1195888,-0.51373307,75,0.002073828,1.002073828,20.45826679,845.524994,-5.084268129,-21.050048,-16.950012,-36,-35,839.1166487,892,790,847.3464602,843.849976,863.950012,816,100,67.2751663,35.98703948,0.650578728,2.668697627
3/27/2008,840.25,848.5,831,838.299988,557454,153379.6378,839.512497,0,30,40.49800477,16.29818205,17.03827497,9.121489006,856.8361104,863.5333141,798.6166739,0.159892616,839.4233602,-4.114929481,-2.304439562,-1.810489919,38.79467802,-1753342,-0.48795104,-829.9988,-0.008632909,0.991367091,17.10703674,839.75,1.476025988,-19.100036,-20.099976,-36.400024,-35.75,841.6583153,884.900024,790,855.5266463,845.599976,856,835.049988,19.33704221,45.46542813,31.26212816,0.611296487,2.220070711
3/28/2008,834.75,855,822,837.799988,519840,131325.4415,837.387497,70,20,39.96243301,15.33685061,17.99942217,8.295764685,856.8722196,857.026698,801.2032828,0.142219626,838.3357008,-3.938319955,-2.63121564,-1.307104314,27.61607532,-2273182,-0.467222175,-150,-0.000596445,0.999403555,14.71076157,838.5,5.538087212,-2.549988,16,-19.900024,-15.25,839.2666527,874.900024,790,863.0812482,838.299988,848.5,831,0,38.53935176,32.27548666,0.655579833,7.987010352
3/31/2008,840,840,811,827,685949,202285.6829,829.5,60,10,39.17940208,17.26065911,17.04778648,6.943858705,854.58333,854.6730004,800.8869852,0.1300191,830.7407813,-4.621356805,-3.029243873,-1.592112932,30.44845647,-2959131,-0.548980074,-1179.9988,-0.012890891,0.987109109,14.17385955,825.5,5.047794294,-5.700012,6,-9.799988,0,832.4833273,863.950012,790,868.2126829,837.799988,855,822,0,42.12119394,25,0.485498223,0.620467133
4/1/2008,840,855,807.549988,815.75,454500,-95126.66644,829.574997,50,0,39.77015993,15.78967382,15.96312747,6.557603592,851.4222176,853.6521351,798.5178481,0.09837727,820.6969578,-6.012773189,-3.625949737,-2.386823452,38.99392,-3413631,-0.715820217,-1225,-0.013603386,0.986396614,14.52916033,831.274994,2.301174071,9.200012,7.549988,25.099976,30,823.174998,863.950012,790,874.3691131,827,840,811,0,26.82250304,25.24509804,0.312548739,0.546262502
