6/8/2009,1075.050049,1103,1026.150024,1051.849976
6/9/2009,1029,1111.800049,1005.150024,1089.949951
6/10/2009,1100,1119,1090,1109.349976
6/11/2009,1073.349976,1111,1073.349976,1097.449951
6/12/2009,1053.650024,1114.849976,1053.650024,1085.099976
6/15/2009,1046.349976,1083.800049,1046.349976,1065.449951
6/16/2009,1046.349976,1093.900024,1040,1075.550049
6/17/2009,1071.300049,1085.400024,1050,1061.050049
6/18/2009,1055,1059.900024,1025.150024,1031.75
6/19/2009,1035,1064,1031.300049,1049.900024
6/22/2009,1060,1074.75,1038.050049,1066.199951
6/23/2009,1052,1066.900024,1036,1053.349976
6/24/2009,1055,1064.900024,1029,1059.900024
6/25/2009,1068,1069,1009.900024,1025.800049
6/26/2009,1037,1063.650024,1018.099976,1059.25
6/29/2009,1059.099976,1079.800049,1038.349976,1067.900024
6/30/2009,1075,1078.099976,1050,1068.949951
7/1/2009,1078,1086,1053,1072.25
7/2/2009,1080,1080,1029,1052.400024
7/3/2009,1049.699951,1066.900024,1040.150024,1058.75
7/6/2009,1058.75,1073.599976,991.5,1037.599976
7/7/2009,1028.699951,1110,1020,1080.150024
7/8/2009,1060,1108.400024,1056.5,1102.25
7/9/2009,1108,1124,1090.099976,1099.150024
7/10/2009,1095,1115,1068.75,1103.599976
7/13/2009,1090,1094.900024,1040.400024,1067
7/14/2009,1074.300049,1095,1068.349976,1085.75
7/15/2009,1085,1117.75,1065.349976,1109.449951
7/16/2009,1115.099976,1152.400024,1086.300049,1142
7/17/2009,1159,1193.650024,1148,1181.449951
7/20/2009,1188,1219.900024,1184,1209.75
7/21/2009,1180,1248.5,1180,1240.050049
7/22/2009,1241,1249.949951,1201,1214.300049
7/23/2009,1220,1305,1220,1295.800049
7/24/2009,1301,1399.900024,1297.099976,1378.25
7/27/2009,1388,1394,1349.699951,1369.900024
7/28/2009,1370,1418,1345,1389.050049
7/29/2009,1395,1418.949951,1362,1398.050049
7/30/2009,1381,1416.949951,1371,1397.050049
7/31/2009,1434,1448.650024,1402,1414.449951
8/3/2009,1411,1484,1411,1471.900024
