Date,Open,High,Low,Close,Volume,A/D line,ohlc,aroon up,aroon down,ATR,DMI+,DMI-,Dx,ADX,sma8,upper bb,lower bb,%b,CMF,ema26,macd,signal,histogram,Mfi,OBV,PPO,ROC,ROC%,ROC Ratio,stdev,median P,AO,mom cp,mom low,mom high,mom op,WMA20,UPC,LPC,TMA20,PCp,Phigh,Plow,rsi2,stck2,stcd2
3/17/2008,193.75,199.425003,192.188004,197.962006,1958904,-34477297.06,195.8312533,20,90,9.501518929,16.08072641,23.52385096,18.79359671,20.15116232,205.5483741,221.4698832,192.7775136,0.180692374,-0.185500488,198.704867,-7.224013817,-5.522926179,-1.701087638,21.46416391,-22781804,-3.361290011,-400,-0.014928195,0.985071805,7.56110327,195.8065035,-18.02466003,-14.187988,-17.811996,-17.75,-22.75,210.1554091,220.699997,187.5,218.9957254,200.962006,203.225006,187.5,66.80315366,66.53101436,74.6870641
3/18/2008,197.5,207.199997,192.5,204.425003,3596080,-32238918.08,200.40625,10,80,9.872838791,16.39626505,21.0220337,12.36231684,20.62548778,203.7483749,220.359544,192.3428546,0.431248255,-0.121617719,202.5373581,-6.979843299,-5.814309603,-1.165533696,30.80616227,-19185724,-3.258816261,546.2997,0.032647664,1.032647664,7.383045929,199.8499985,-19.03701331,-10.274994,-19.274994,-10.300003,-17,209.2079095,220.699997,187.5,220.0175513,197.962006,199.425003,192.188004,68.29757,81.51481952,74.02291694
3/19/2008,207,210,201.386993,202.863007,4361924,-35105833.22,205.3125,0,70,9.782850806,15.36515205,19.70001968,12.36231684,21.03248933,202.6640015,218.1141282,192.2208724,0.41100025,-0.175184412,202.7555429,-6.83849783,-6.019147248,-0.819350582,39.41617354,-23547648,-3.204680078,-256.1996,-0.007640924,0.992359076,6.823472023,205.6934965,-19.01314586,-15.96199,-9.863007,-10.699997,-4.25,208.1539102,220.699997,187.5,220.171644,204.425003,207.199997,192.5,80.53585841,59.21718286,70.36600119
3/24/2008,202.863007,209.375,202.863007,205.925003,3301984,-35302573.77,205.2565043,0,60,9.549218106,26.27586463,18.74043184,16.73934415,21.46696842,202.3530026,213.1821996,194.5728022,0.61002517,-0.187356961,204.8790812,-6.410000329,-6.097317865,-0.312682465,49.95292198,-20245664,-3.011251003,206.1996,0.01509391,1.01509391,4.904006794,206.1190035,-16.90847753,-5.612991,-7.698989,-7.149994,-12.786987,207.46772,216.524994,187.5,219.9866622,202.863007,210,201.386993,66.21975125,52.6878708,55.95252683
3/25/2008,210,224.962006,208.75,219.125,2928896,-34482729.98,215.7092515,90,50,10.02513153,30.39276768,16.57572925,29.41767212,22.08612186,204.0092526,217.0376587,192.2347443,1.084157098,-0.195092415,214.4238468,-4.947968292,-5.86744795,0.919479658,58.21110392,-17316768,-2.31965391,1219.9997,0.064100992,1.064100992,6.536141845,216.856003,-12.31730716,10.712006,1.25,11.462006,-1.537994,208.1129581,224.962006,187.5,218.2223314,205.925003,209.375,202.863007,100,73.58701179,63.1374413
3/26/2008,235,235,212.886993,219.587006,2171768,-35338451.38,225.6184998,90,40,10.8885512,25.98397253,15.88470647,24.12129138,22.38461961,205.7217543,221.0017749,190.5054305,0.953608573,-0.204383186,217.8831635,-3.703317819,-5.434621924,1.731304105,65.41699937,-15145000,-1.732579063,-53.7994,0.002108413,1.002108413,8.036492402,223.9434965,-6.188246694,13.712006,7.886993,25,25,208.8476158,235,187.5,216.9407746,219.125,224.962006,208.75,100,41.28383238,57.43542209
3/27/2008,218,219,210.274994,213.125,6151152,-37471080.04,215.0999985,80,30,10.73401226,24.47534802,14.96244343,24.12129138,23.25020869,207.9967539,222.3573105,190.5998949,0.709286467,-0.2051523,214.6951939,-3.197497263,-4.987196992,1.789699729,53.19844163,-21296152,-1.496237674,-746.2006,-0.029427998,0.970572002,8.368813815,214.637497,-2.519158759,7.238007,7.712998,6.5,8.25,208.9932729,235,187.5,215.4107451,219.587006,235,212.886993,6.672518765,11.52681621,26.4053243
3/28/2008,213.25,218.675003,213,217.761993,3633696,-35006581.94,215.671749,70,20,10.37265446,23.51886553,23.84629757,0.691292964,22.34734776,210.0967523,224.9078745,190.4243309,0.792774154,-0.111028901,216.7499493,-2.393112952,-4.468380184,2.075267232,54.76397015,-17662456,-1.118346788,363.6993,0.021757152,1.021757152,9.087211613,215.8375015,-0.130798979,22.83699,22.75,14.925003,9.5,209.6379912,235,187.5,213.6423854,213.125,219,210.274994,41.7784793,85.81081778,48.668817
3/31/2008,217.761993,217.761993,199.25,202.613007,4051860,-37586268.36,209.3467483,60,10,10.95403578,20.67985269,20.96775971,0.691292964,21.0268242,210.6781274,223.9330881,192.9367181,0.312174907,-0.117646589,207.278198,-2.944038349,-4.163511817,1.219473468,52.41486197,-21714316,-1.380942525,-1614.8986,-0.069566713,0.930433287,8.168260716,208.5059965,0.747702474,1.651001,11.75,14.536987,22.761993,208.8725109,235,187.5,212.6746929,217.761993,218.675003,213,23.43575216,17.31277467,51.56179623
4/1/2008,205,213.225006,202.5,208.087006,2086728,-37498906.78,207.203003,50,0,10.93767651,21.85996659,19.49918358,5.708006561,19.74135489,211.1358778,223.8400492,194.454757,0.463914019,-0.121860265,207.8200993,-2.910712552,-3.912951964,1.002239412,57.46968155,-19627588,-1.367602294,447.3999,0.027017017,1.027017017,7.743704446,207.862503,-0.528571144,10.125,10.311996,13.800003,11.25,208.70824,235,192.188004,211.3102432,202.613007,217.761993,199.25,26.5431944,47.73665375,32.52471421
4/2/2008,212.5,217.25,212.311996,212.811996,1428844,-38638394.19,213.718498,40,0,10.50912847,25.03445436,18.84473862,14.10626613,19.55832905,212.3795014,223.3752203,197.8895839,0.585522444,-0.144052671,211.1646701,-2.475806828,-3.625522937,1.149716109,64.27429019,-18198744,-1.163269377,372.499,0.0227068,1.0227068,6.71605489,214.780998,-2.089556168,8.386993,19.811996,10.050003,15,209.0517681,235,192.5,209.7432291,208.087006,213.225006,202.5,100,69.91183729,58.82424552
4/3/2008,212.5,223,212.5,221.350006,3287172,-36384329.64,217.3375015,30,10,10.50847644,23.24772144,17.49977163,14.10626613,17.99588876,214.3076268,225.7954361,198.8543687,0.834994284,-0.085373577,217.9888452,-1.422977081,-3.185013765,1.762036684,65.53945465,-14911572,-0.666724497,753.801,0.040119966,1.040119966,7.099594641,217.75,-1.308967332,18.486999,11.113007,13,5.5,210.2395734,235,199.25,209.5467728,212.811996,217.25,212.311996,100,84.56218766,77.23701248
4/4/2008,221.5,222.475006,215.011993,218.225006,2020844,-36665126.27,219.3030013,20,0,10.29094334,27.28386921,16.59328092,24.36481919,16.92475126,214.1951275,226.1138221,201.6083825,0.678078981,-0.092650323,218.1470729,-0.825773907,-2.713165794,1.887391887,67.18071348,-16932416,-0.38630197,-412.5,-0.014117912,0.985882088,6.457750324,218.7434995,-0.733826585,12.300003,12.148986,13.100006,18.636993,211.0859501,235,199.25,208.8527214,221.350006,223,212.5,73.20588767,54.52386667,69.54302717
4/7/2008,223.75,230.024994,219.550003,226.024994,3659528,-35800466.93,224.8374978,10,50,10.3040896,25.30269824,15.94295544,22.69267661,15.734175,214.999876,228.8310471,202.9111557,0.891741326,-0.098147802,223.42528,0.278984868,-2.114735661,2.39372053,68.5221987,-13272888,0.129988872,679.9988,0.03574287,1.03574287,6.830491105,224.7874985,2.385341506,6.899994,10.800003,5.062988,13.75,212.658397,235,199.25,206.9674283,218.225006,222.475006,215.011993,71.39584959,73.35642621,63.94014644
4/8/2008,226.25,226.75,218.75,221.837006,4055352,-36726094.94,223.3967515,0,40,10.13951177,23.8767238,16.10115097,19.44969029,15.78103883,216.0888767,229.4715052,202.8130988,0.713617571,-0.088272757,222.3611364,0.814328299,-1.528922869,2.343251168,64.97393453,-17328240,0.37853347,-518.7988,-0.018528871,0.981471129,7.0251069,222.75,5.234340803,2.25,5.863007,-8.25,-8.75,213.7977022,235,199.25,206.1896361,226.024994,230.024994,219.550003,65.06509523,27.37922521,50.36782571
4/9/2008,220,223,217.25,219.061996,1482600,-37274272.24,219.827999,70,30,9.825975215,27.90401026,15.42814167,28.79125093,16.95453412,216.2513771,229.3683582,202.8112438,0.611917091,-0.070491374,220.1507123,1.006966034,-1.021745089,2.028711122,60.12049107,-18810840,0.467480915,-377.501,-0.012509229,0.987490771,6.998414157,220.125,6.170788262,5.936996,6.975006,4,2,214.6236779,230.024994,199.25,205.8358164,221.837006,226.75,218.75,0,19.07364211,23.22643366
4/10/2008,220,229.912994,219.25,224.886993,2925932,-37106615.66,223.5124968,60,20,9.885762271,26.72020319,14.23949005,30.47071926,18.24799143,219.0356254,231.3452943,203.1867063,0.770645413,-0.025662802,223.3240204,1.61467278,-0.494461515,2.109134295,59.11545776,-15884908,0.747303604,482.4997,0.026590632,1.026590632,7.420439494,224.581497,7.325131868,7.125,6.25,11.237991,6.75,215.9537056,230.024994,199.25,205.8876042,219.061996,223,217.25,67.73246812,60.30953659,39.69158935
4/11/2008,225.761993,231.25,223.311996,227,2189264,-37261611.5,226.8309973,90,10,9.746636681,36.15858664,13.41112277,45.88984712,20.33017022,221.3997496,233.4415152,202.9380868,0.788826518,-0.017844167,225.7869267,2.247151458,0.05386108,2.193290379,58.29942475,-13695644,1.036356726,111.3007,0.009395861,1.009395861,8.038359179,227.280998,8.847528538,24.386993,24.061996,13.488007,8,217.3944388,231.25,199.25,205.6823615,224.886993,229.912994,219.25,100,64.58333333,62.44643496
4/15/2008,230.5,246.25,220.100006,243.537994,5703772,-32740911.58,235.097,90,0,10.91830506,32.7531207,11.11680552,49.31924225,21.75171094,225.2404994,240.3260896,204.2385098,1.089003042,0.070896122,237.6801418,4.046570283,0.85240292,3.194167363,61.30539552,-7991872,1.850272795,1553.7994,0.072854599,1.072854599,9.509912289,233.175003,10.33238229,35.450988,17.600006,33.024994,25.5,220.3096809,246.25,202.5,207.9517124,227,231.25,223.311996,100,89.62903777,77.10618555
4/16/2008,246.25,250.5,240.5,242.975006,6438768,-35992481.7,245.0562515,90,0,10.85271184,31.91375704,10.38513812,50.89640955,23.66421938,227.9436244,244.9430622,206.5991372,0.948673586,-0.005164759,241.2277008,5.381482836,1.758218904,3.623263933,65.1562481,-14430640,2.441684246,-156.2988,-0.002311705,0.997688295,10.10451143,245.5,14.30113238,30.16301,28.188004,33.25,33.75,222.9398147,250.5,212.311996,209.3361582,243.537994,246.25,220.100006,96.70786157,75.24672538,82.43788158
4/17/2008,249.925003,252.5,244.886993,250.225006,3999556,-34383299.41,249.3842505,90,0,10.62130435,34.48298913,9.853443074,55.55148404,25.90923314,231.9436244,251.5032369,207.5215645,0.970937191,0.001352957,247.2558953,6.96022564,2.798620251,4.161605389,76.47204893,-10431084,3.128357767,625,0.02983846,1.02983846,11.59018835,248.6934965,19.38872878,28.875,32.386993,29.5,37.425003,226.0603627,252.5,212.5,211.8222258,242.975006,250.5,240.5,92.7942037,81.04171667,78.14422102
4/21/2008,252.25,258.75,246.649994,248.350006,3399296,-36827415.06,251.5,90,0,10.7269259,31.70463773,26.47232147,8.993794666,26.50226898,234.7342509,256.0814005,208.3434009,0.838045277,-0.066232209,247.9889495,7.985139457,3.835924092,4.149215365,76.62008521,-13830380,3.560050483,-287.5,-0.007493256,0.992506744,12.58006748,252.699997,24.26757593,30.125,31.638001,36.274994,30.75,228.7534679,258.75,215.011993,213.418642,250.225006,252.5,244.886993,79.45205479,24.98024419,53.01098043
4/22/2008,246.238007,246.238007,220.5,221.800003,13785196,-49220055.98,233.6940043,80,20,11.79914598,26.76472701,22.64308492,8.342085854,27.04875418,234.7296255,255.6853985,209.4544023,0.267041633,-0.179337062,230.4423553,6.587489625,4.386237199,2.201252426,62.95528738,-27615576,2.939221823,-2755.0003,-0.106905586,0.893094414,12.18293723,233.3690035,25.19820632,-4.224991,0.949997,16.213013,22.488007,228.7088347,258.75,217.25,215.760667,248.350006,258.75,246.649994,0,3.398700654,14.18947242
